(￣0 ￣)y	阿达
o(#￣▽￣)==O))￣▽￣")o ~!!	金钢飞拳
(。_。)	重创
(￣ε(#￣)	被打一巴掌
((( ●<	蟑螂
(: )～	蝌蚪
"\@	蜗牛
_(:3」∠)_	萎靡不振
囧rz	膜拜
Or2	膜拜
orz	膜拜
OTL	膜拜
Orz	膜拜
○|￣|_	膜拜
_no	膜拜
ORZ	膜拜
STO	膜拜
☻	笑脸
☺	笑脸
(:◎)≡	章鱼
（╬￣皿￣）＝○＃（￣＃）３￣）	看拳
＜（‵□′）＞───Ｃε（┬＿┬）３	生气扭耳朵
ˋ︿ˊ	生气
(╬￣皿￣)凸	生气
ˋ 3ˊ	生气
（#－.－）	生气
╭∩╮ （*－.－）	生气
ˋˍˊ	生气
ˋε ˊ	生气
ˋωˊ	生气
ˋ﹏ˊ	生气
(￣ε(#￣)☆╰╮o(￣皿￣///)	生气
(/"≡ _ ≡)/~┴┴	生气
ˋ△ˊ	生气
ˋ０ˊ	生气
Σ( ￣□￣；)	生气
<(￣ ﹌ ￣)>	生气
ˋ▽ˊ	生气
(=￣ω￣=)	猫咪脸
( ¯(∞)¯ )	猪头
(‵﹏′)	狡猾
♥	爱心
♦	爱心
♣	爱心
ღ	爱心
♠	爱心
❤	爱心
❥	爱心
(￣ˇ￣)	满意
(￣﹏￣)	满意
(￣︶￣)>	满意
[]~(￣▽￣)~*	满意
<(￣︶￣)/	满意
<(￣︶￣)>	满意
(‧‧)nnn	毛毛虫
（︶︿︶）＝凸	比中指
╰（‵□′）╯	暴怒
（（‵□′））	暴怒
❀	星星
✻	星星
❋	星星
❇	星星
❊	星星
✲	星星
✬	星星
✯	星星
✣	星星
✵	星星
✩	星星
❁	星星
✡	星星
❃	星星
❉	星星
✹	星星
✴	星星
✦	星星
⁂	星星
✧	星星
✶	星星
⁎	星星
✤	星星
✺	星星
✼	星星
✽	星星
✰	星星
☸	星星
✾	星星
❈	星星
⁑	星星
✫	星星
＊	星星
✷	星星
✮	星星
★	星星
☆	星星
✭	星星
✱	星星
✥	星星
✸	星星
✳	星星
✪	星星
✿	星星
✢	星星
＜( ￣︿￣)︵θ︵θ︵θ︵θ︵☆（＞口＜－）	无影脚攻击
(￣.￣)	无奈
~。。。(~￣▽￣)~	无奈
┐（─__─）┌	无奈
╯ω╰	无奈
╮(╯▽╰)╭	无奈
╮(╯3╰)╭	无奈
=￣ω￣=	无奈
(￣▽￣)~*	无奈
(￣< ￣)>	无奈
╮（￣▽￣）╭	无奈
(￣３￣)a	无奈
╮（￣﹏￣）╭	无奈
╯ˍ╰	无奈
╯﹏╰	无奈
（＃－.－）	无奈
╮(╯_╰)╭	无奈
（─.─||）	无奈
(￣▽￣)"	无奈
╮(￣▽￣)╭	无奈
╯ 3╰	无奈
（￣口￣）	无奈
≡￣﹏￣≡	无奈
╮（﹀＿﹀）╭	无奈
╯︿╰	无奈
(= 0 =)y	无奈
╯０╰	无奈
ˋ(′～‵)ˊ	无奈
╯ε ╰	无奈
╯△╰	无奈
╯▽╰	无奈
╮（╯＿╰）╭	无奈
(～o￣▽￣)～o	无奈
￣▽￣	无奈
ˋ（′～‵）ˊ	无奈
o()︿﹀﹀o	无奈
┬─┬ ノ( ' - 'ノ)	摆好桌子
(╯°Д°)╯︵ ┻━┻	掀桌子
┴─┴︵╰（‵□′╰）	掀桌子
（╯' - ')╯︵ ┻━┻	掀桌子
（╯－＿－）╯╧╧	掀桌子
（╯‵□′）╯︵┴─┴	掀桌子
┴┴︵╰（‵□′）╯︵┴┴	拆房子
(ˇˍˇ)	我想想
(⊙ˍ⊙)	惊讶
Σ( ° △ °|||)︴	惊讶
(@[]@!!)	惊讶
︽⊙＿⊙︽	惊讶
Σ(@)	惊讶
(@口@)	惊讶
ㄟ(≧◇≦)ㄏ(￣ε(#￣)	惊讶
Σ(⊙▽⊙"a	惊讶
(⊙＿⊙)	惊讶
Σ( ° △ °|||)	惊吓
∪▽∪	悲伤
∪ˍ∪	悲伤
∪︿∪	悲伤
∪△∪	悲伤
∪ω∪	悲伤
∪０∪	悲伤
∪ 3∪	悲伤
∪ε ∪	悲伤
∪﹏∪	悲伤
(→_→)	怀疑
∩０∩	微笑
∩︿∩	微笑
∩ˍ∩	微笑
∩ω∩	微笑
∩ε ∩	微笑
∩▽∩	微笑
∩ 3∩	微笑
∩△∩	微笑
∩﹏∩	微笑
(≧3≦)/	开心
(/≧▽≦/)	开心
(≧▽≦)y	开心
(≧▽≦)(@)	开心
o(≧o≦)o	开心
(≧ω≦)/	开心
o(≧v≦)o	开心
ˋ( ° ▽、° )	开心
(/≧▽≦)/~┴┴	开心
o(≧ω≦)o	开心
┴┴~(≧▽≦)/~┴┴	开心
≧▽≦y	开心
m( _　_ )m	崇拜
<(￣ ﹌ ￣)@m	就是你
(￣o￣) . z Z	困
(￣.￣)+	发现
(〒︿〒)	伤心
（＞﹏＜）	伤心
m(_ _)m	伤心
（┬＿┬）	伤心
☹	伤心
╥﹏╥	伤心
〒▽〒	伤心
ˇε ˇ	不爽
ˇωˇ	不爽
ˇ０ˇ	不爽
ˇ▽ˇ	不爽
ˇ△ˇ	不爽
ˇ︿ˇ	不爽
ˇ 3ˇ	不爽
ˇˍˇ	不爽
ˇ﹏ˇ	不爽
(＞﹏＜)	不
◭	三角
▴	三角
⊿	三角
►	三角
▲	三角
▸	三角
◃	三角
▶	三角
∆	三角
▷	三角
◀	三角
◁	三角
◢	三角
◤	三角
◥	三角
◅	三角
▹	三角
▻	三角
∇	三角
△	三角
◬	三角
▽	三角
◿	三角
▵	三角
◸	三角
◹	三角
◺	三角
◮	三角
▼	三角
◣	三角
▿	三角
◄	三角
◂	三角
▾	三角
(๑•̀д•́๑)	生气
(ʘ言ʘ╬)	生气
(°言°怒)	生气
щ(`Д´щ;)	生气
(๑•̀ㅁ•́๑)✧	生气
＼`•̀益•́´／	生气
ヽ(`д´；)/	生气
(｀Д´)	生气
ヽ(*｀ﾟД´)ﾉ	生气
(＃｀д´)ﾉ	生气
(•ˋ _ ˊ•)	生气
ヾ(｀ε´)ﾉ	生气
WHATщ(ﾟДﾟщ)	生气
(　｀_ゝ´)	生气
(#｀ε´)	生气
(*≧m≦*)	生气
凸(≡д≡)	生气
（￣^￣）凸	生气
凸(ﾟДﾟ#)	生气
┗─y(ｷ´゜皿`)	生气
(@>皿<)	生气
(ｙﾟ 益ﾟ;)ｙ	生气
((ヾ(≧皿≦；)ノ＿))	生气
┗(｀Дﾟ┗(｀ﾟДﾟ´)┛ﾟД´)┛	生气
!!!!|┛*｀Д´|┛・・~~┻━┻　┳━┳	生气
